NormT,undisturbed
1.167363858544960609e+00,2.220170780238014214e-04
1.171058042033028990e+00,2.219649140837853937e-04
1.174752225521097371e+00,2.220235367901641425e-04
1.178446409009165752e+00,2.221611054786504073e-04
1.182140592497234133e+00,2.221819789447574030e-04
1.185834775985302514e+00,2.221377091118005196e-04
1.189528959473370895e+00,2.220212760401627135e-04
1.193223142961439276e+00,2.218207662596387080e-04
1.196917326449507657e+00,2.217767601726078027e-04
1.200611509937575816e+00,2.219471412513137406e-04
1.204305693425644197e+00,2.222325354986597610e-04
1.207999876913712578e+00,2.222393098035895182e-04
1.211694060401780959e+00,2.221156602667024476e-04
1.215388243889849340e+00,2.222910662331981828e-04
1.219082427377917721e+00,2.222098503085289777e-04
1.222776610865986102e+00,2.220100425167660652e-04
1.226470794354054483e+00,2.221805355996847922e-04
1.230164977842122864e+00,2.219802091164186112e-04
1.233859161330191245e+00,2.219881918828249805e-04
1.237553344818259626e+00,2.217240357063410619e-04
1.241247528306328007e+00,2.216421524437468110e-04
1.244941711794396388e+00,2.214744310892069890e-04
1.248635895282464769e+00,2.215751602665275936e-04
1.252330078770533150e+00,2.216801198343292326e-04
1.256024262258601532e+00,2.215490129361089738e-04
1.259718445746669913e+00,2.214778485168650138e-04
1.263412629234738294e+00,2.216060298864128760e-04
1.267106812722806675e+00,2.215720540914337372e-04
1.270800996210875056e+00,2.215099972090191053e-04
1.274495179698943215e+00,2.215162344238294945e-04
1.278189363187011596e+00,2.214465551446716403e-04
1.281883546675079977e+00,2.214705798565901854e-04
1.285577730163148358e+00,2.215022526872478293e-04
1.289271913651216739e+00,2.214558731095403010e-04
1.292966097139285120e+00,2.213451201594147152e-04
1.296660280627353501e+00,2.214312706375187311e-04
1.300354464115421882e+00,2.212015006157653119e-04
1.304048647603490263e+00,2.212096428853104054e-04
1.307742831091558644e+00,2.212562549778889789e-04
1.311437014579627025e+00,2.211893573123244758e-04
1.315131198067695406e+00,2.210706774764968814e-04
1.318825381555763787e+00,2.212913991827796380e-04
1.322519565043832168e+00,2.211873265820996017e-04
1.326213748531900549e+00,2.211364398480443038e-04
1.329907932019968930e+00,2.209756434594010142e-04
1.333602115508037311e+00,2.212195675555896947e-04
1.337296298996105692e+00,2.213832998906494409e-04
1.340990482484174073e+00,2.213595210093875353e-04
1.344684665972242454e+00,2.213901214640478512e-04
1.348378849460310613e+00,2.213249078610499110e-04
1.352073032948378994e+00,2.213510071403502165e-04
1.355767216436447375e+00,2.211117880455785447e-04
1.359461399924515757e+00,2.211250006338729129e-04
1.363155583412584138e+00,2.212020430621543612e-04
1.366849766900652519e+00,2.211172571025179904e-04
1.370543950388720900e+00,2.213532497505672932e-04
1.374238133876789281e+00,2.211674459507296099e-04
1.377932317364857662e+00,2.208777823289670634e-04
1.381626500852926043e+00,2.207503517617986704e-04
1.385320684340994424e+00,2.208740551031609391e-04
1.389014867829062805e+00,2.208441270926953513e-04
1.392709051317131186e+00,2.206755659444351253e-04
1.396403234805199567e+00,2.206499786637126047e-04
1.400097418293267948e+00,2.206030043361724142e-04
1.403791601781336329e+00,2.209189458530246074e-04
1.407485785269404710e+00,2.211049889321502703e-04
1.411179968757473091e+00,2.212430520729234836e-04
1.414874152245541472e+00,2.209598933264278963e-04
1.418568335733609853e+00,2.210686429710878489e-04
1.422262519221678012e+00,2.211931554924591401e-04
1.425956702709746393e+00,2.214641688955134257e-04
1.429650886197814774e+00,2.213553774713991737e-04
1.433345069685883155e+00,2.214626018045146570e-04
1.437039253173951536e+00,2.213229855341551590e-04
1.440733436662019917e+00,2.212953553391884000e-04
1.444427620150088298e+00,2.215646426135080554e-04
1.448121803638156679e+00,2.215530244492378118e-04
1.451815987126225060e+00,2.212934999350125607e-04
1.455510170614293441e+00,2.213461829638476634e-04
1.459204354102361822e+00,2.214194282161580237e-04
1.462898537590430204e+00,2.214540031763839853e-04
1.466592721078498585e+00,2.214829106697389503e-04
1.470286904566566966e+00,2.216301471998884044e-04
1.473981088054635347e+00,2.216064514017106397e-04
1.477675271542703728e+00,2.214833263183699425e-04
