NormT,saffman
5.541293995256112437e-01,3.570423665728325417e-03
5.578235830136795137e-01,3.573420084360385326e-03
5.615177665017478947e-01,3.579771608205659702e-03
5.652119499898162758e-01,3.588863650032453941e-03
5.689061334778846568e-01,3.607592276923487790e-03
5.726003169659530379e-01,3.628106744438625193e-03
5.762945004540214189e-01,3.648618146276889646e-03
5.799886839420897999e-01,3.650946330889153282e-03
5.836828674301581810e-01,3.653199681667666527e-03
5.873770509182265620e-01,3.666318279382474628e-03
5.910712344062949430e-01,3.668898878566491991e-03
5.947654178943632131e-01,3.662284479083151648e-03
5.984596013824315941e-01,3.662976850040389719e-03
6.021537848704999751e-01,3.666259300720264500e-03
6.058479683585683562e-01,3.656112829902554654e-03
6.095421518466367372e-01,3.673883316850621878e-03
6.132363353347051182e-01,3.677099452828230287e-03
6.169305188227734993e-01,3.688458704267604665e-03
6.206247023108418803e-01,3.682283729981306042e-03
6.243188857989102614e-01,3.694873204797423372e-03
6.280130692869786424e-01,3.704251061868662088e-03
6.317072527750469124e-01,3.729151573132204883e-03
6.354014362631152935e-01,3.750458077103098562e-03
6.390956197511836745e-01,3.746464915254679902e-03
6.427898032392520555e-01,3.739990603920585310e-03
6.464839867273204366e-01,3.739967141746651600e-03
6.501781702153888176e-01,3.743614959851157466e-03
6.538723537034571986e-01,3.746535885977156279e-03
6.575665371915255797e-01,3.747998745123460543e-03
6.612607206795939607e-01,3.753637376149203137e-03
6.649549041676623418e-01,3.758495954472674226e-03
6.686490876557306118e-01,3.753604434620904599e-03
6.723432711437989928e-01,3.755172124030052919e-03
6.760374546318673739e-01,3.741144787606364742e-03
6.797316381199357549e-01,3.745774093148389935e-03
6.834258216080041359e-01,3.740973431138257775e-03
6.871200050960725170e-01,3.739748383921153319e-03
6.908141885841408980e-01,3.738966232125949356e-03
6.945083720722092790e-01,3.736635620778893437e-03
6.982025555602776601e-01,3.758943371691074887e-03
7.018967390483460411e-01,3.771560268927375351e-03
7.055909225364143111e-01,3.778064885756307091e-03
7.092851060244826922e-01,3.778617417749009604e-03
7.129792895125510732e-01,3.782690460253882326e-03
7.166734730006194543e-01,3.777753151384480486e-03
7.203676564886878353e-01,3.784361272149118320e-03
7.240618399767562163e-01,3.791182055378357861e-03
7.277560234648245974e-01,3.784201297722053232e-03
7.314502069528929784e-01,3.786585543523769259e-03
7.351443904409613594e-01,3.788501672509059399e-03
7.388385739290297405e-01,3.793817926192106626e-03
7.425327574170980105e-01,3.803138582968653997e-03
7.462269409051663915e-01,3.806458506096562638e-03
7.499211243932347726e-01,3.802545502588294823e-03
7.536153078813031536e-01,3.813976516629806381e-03
7.573094913693715347e-01,3.805382627639001050e-03
7.610036748574399157e-01,3.807414653024085178e-03
7.646978583455082967e-01,3.828662543839610102e-03
7.683920418335766778e-01,3.824756371294907916e-03
7.720862253216450588e-01,3.820786743473725787e-03
7.757804088097134398e-01,3.831143198094159961e-03
7.794745922977817099e-01,3.833820836759198325e-03
7.831687757858500909e-01,3.854500354370193633e-03
7.868629592739184719e-01,3.867873116255035083e-03
7.905571427619868530e-01,3.882461734510236732e-03
7.942513262500552340e-01,3.882805379865627692e-03
7.979455097381236151e-01,3.890034600654345819e-03
8.016396932261919961e-01,3.897857058390007904e-03
8.053338767142603771e-01,3.903480623803645428e-03
8.090280602023287582e-01,3.910868755852080214e-03
8.127222436903970282e-01,3.906087295813370688e-03
8.164164271784654092e-01,3.903593049262327197e-03
8.201106106665337903e-01,3.898424244543019241e-03
8.238047941546021713e-01,3.911502891385419331e-03
8.274989776426705523e-01,3.905357257999700956e-03
8.311931611307389334e-01,3.916774923145752152e-03
8.348873446188073144e-01,3.915118801354660130e-03
8.385815281068756954e-01,3.919263718291684899e-03
8.422757115949440765e-01,3.917500292154902676e-03
8.459698950830124575e-01,3.912411384140211147e-03
8.496640785710807275e-01,3.916616912953523044e-03
8.533582620591491086e-01,3.916218075367079721e-03
8.570524455472174896e-01,3.899891823145703890e-03
8.607466290352858707e-01,3.908530629963667506e-03
8.644408125233542517e-01,3.930089763861669555e-03
8.681349960114226327e-01,3.946432241552100088e-03
8.718291794994910138e-01,3.940866694992506587e-03
8.755233629875593948e-01,3.949523973835003879e-03
8.792175464756277758e-01,3.938985901662524040e-03
8.829117299636961569e-01,3.922040131435356423e-03
8.866059134517644269e-01,3.938611481307438197e-03
8.903000969398328079e-01,3.941270825158215384e-03
8.939942804279011890e-01,3.963265487830490083e-03
8.976884639159695700e-01,3.956974885920106627e-03
9.013826474040379511e-01,3.957722505232351071e-03
9.050768308921063321e-01,3.964845486320961628e-03
9.087710143801747131e-01,3.969299163189033385e-03
9.124651978682430942e-01,3.981775227938295740e-03
9.161593813563114752e-01,3.961290416766746238e-03
9.198535648443798562e-01,3.957186915220273389e-03
9.235477483324481263e-01,3.966878656751144858e-03
9.272419318205165073e-01,3.982015297893292706e-03
9.309361153085848883e-01,4.000785326408735736e-03
9.346302987966532694e-01,3.999849138863435273e-03
9.383244822847216504e-01,3.994780083403648430e-03
9.420186657727900315e-01,3.989438540519437033e-03
9.457128492608584125e-01,3.977813575424631737e-03
9.494070327489267935e-01,3.995158358078025086e-03
9.531012162369951746e-01,3.993884980576487692e-03
9.567953997250635556e-01,4.002545613717920815e-03
9.604895832131318256e-01,4.003042067158716147e-03
9.641837667012002067e-01,3.998702635482176242e-03
9.678779501892685877e-01,4.016825376655230352e-03
9.715721336773369687e-01,4.030131850251695604e-03
9.752663171654053498e-01,4.029536647781064261e-03
9.789605006534737308e-01,4.031026692285563998e-03
9.826546841415421119e-01,4.027171894898824711e-03
9.863488676296104929e-01,4.030328826606040249e-03
9.900430511176788739e-01,4.039019133018593131e-03
9.937372346057472550e-01,4.047151902460099406e-03
9.974314180938155250e-01,4.058714833836819628e-03
1.001125601581883906e+00,4.062181912748452986e-03
1.004819785069952287e+00,4.071059930366089860e-03
1.008513968558020668e+00,4.057898071458390307e-03
1.012208152046089049e+00,4.056618149925414647e-03
1.015902335534157430e+00,4.054246163387816362e-03
1.019596519022225811e+00,4.054691234366960759e-03
1.023290702510294192e+00,4.048035401390467913e-03
1.026984885998362573e+00,4.064062425495471552e-03
1.030679069486430954e+00,4.067728917119247355e-03
1.034373252974499335e+00,4.062817110863983609e-03
1.038067436462567716e+00,4.074257398259411092e-03
1.041761619950636097e+00,4.078883755434979490e-03
1.045455803438704478e+00,4.068925271452635689e-03
1.049149986926772860e+00,4.072487897795711541e-03
1.052844170414841019e+00,4.077446664004679561e-03
1.056538353902909400e+00,4.081869840406514467e-03
1.060232537390977781e+00,4.085209182226046121e-03
1.063926720879046162e+00,4.089221877286934592e-03
1.067620904367114543e+00,4.087339889577943156e-03
1.071315087855182924e+00,4.109538102304987651e-03
1.075009271343251305e+00,4.121774815547402972e-03
1.078703454831319686e+00,4.119393684860861438e-03
1.082397638319388067e+00,4.114213301213641080e-03
1.086091821807456448e+00,4.127812656243800421e-03
1.089786005295524829e+00,4.113463743472897324e-03
1.093480188783593210e+00,4.104973988221215404e-03
1.097174372271661591e+00,4.108769565010980673e-03
1.100868555759729972e+00,4.103191878467264166e-03
1.104562739247798353e+00,4.095844907982670348e-03
1.108256922735866734e+00,4.102260540768586962e-03
1.111951106223935115e+00,4.109569822924283820e-03
1.115645289712003496e+00,4.094933721742723999e-03
1.119339473200071877e+00,4.086936752911792155e-03
1.123033656688140258e+00,4.099011086548042665e-03
1.126727840176208417e+00,4.100012863120832719e-03
1.130422023664276798e+00,4.101195569640508562e-03
1.134116207152345179e+00,4.114748675008594696e-03
1.137810390640413560e+00,4.124007358696958267e-03
1.141504574128481941e+00,4.128282625799803950e-03
1.145198757616550322e+00,4.149185809244793251e-03
1.148892941104618703e+00,4.142463099942150784e-03
1.152587124592687085e+00,4.147985908950853687e-03
1.156281308080755466e+00,4.157117537970616075e-03
1.159975491568823847e+00,4.175493434196907334e-03
1.163669675056892228e+00,4.180762129350475836e-03
1.167363858544960609e+00,4.193478667424657691e-03
1.171058042033028990e+00,4.198960191774975086e-03
1.174752225521097371e+00,4.219975301232767838e-03
1.178446409009165752e+00,4.227821240557955162e-03
1.182140592497234133e+00,4.237041618100076748e-03
1.185834775985302514e+00,4.212574462158606703e-03
1.189528959473370895e+00,4.209600911244305681e-03
1.193223142961439276e+00,4.213343640630263717e-03
1.196917326449507657e+00,4.198223746137117428e-03
1.200611509937575816e+00,4.198639546318524811e-03
1.204305693425644197e+00,4.201315257973069726e-03
1.207999876913712578e+00,4.202016236914310476e-03
1.211694060401780959e+00,4.213245257816353347e-03
1.215388243889849340e+00,4.208887303980195747e-03
1.219082427377917721e+00,4.203339862483056709e-03
1.222776610865986102e+00,4.195438066936520681e-03
1.226470794354054483e+00,4.192157949386098557e-03
1.230164977842122864e+00,4.188465634768857859e-03
1.233859161330191245e+00,4.172182341529309148e-03
1.237553344818259626e+00,4.173079273942626941e-03
1.241247528306328007e+00,4.167512921159043961e-03
1.244941711794396388e+00,4.147318615337184516e-03
1.248635895282464769e+00,4.164962436661926587e-03
1.252330078770533150e+00,4.183958984555821194e-03
1.256024262258601532e+00,4.187129224930954442e-03
1.259718445746669913e+00,4.180296571638776257e-03
1.263412629234738294e+00,4.174087195283125544e-03
1.267106812722806675e+00,4.185529779686815444e-03
1.270800996210875056e+00,4.180720947420803885e-03
1.274495179698943215e+00,4.183382752957947107e-03
1.278189363187011596e+00,4.187914910967342405e-03
1.281883546675079977e+00,4.178078209079245237e-03
1.285577730163148358e+00,4.171651645030008751e-03
1.289271913651216739e+00,4.181097036692281964e-03
1.292966097139285120e+00,4.188416646509093150e-03
1.296660280627353501e+00,4.192957064100710611e-03
1.300354464115421882e+00,4.179323944646151645e-03
1.304048647603490263e+00,4.196670826194225448e-03
1.307742831091558644e+00,4.198335523438058610e-03
1.311437014579627025e+00,4.198087415160009321e-03
1.315131198067695406e+00,4.179867352054421510e-03
1.318825381555763787e+00,4.166001726331119287e-03
1.322519565043832168e+00,4.163209914387983046e-03
1.326213748531900549e+00,4.155654341292572274e-03
1.329907932019968930e+00,4.162877513973537065e-03
1.333602115508037311e+00,4.166419082789805592e-03
1.337296298996105692e+00,4.161669498291468636e-03
1.340990482484174073e+00,4.159107121261769284e-03
1.344684665972242454e+00,4.162207893649999720e-03
1.348378849460310613e+00,4.154519868186062719e-03
1.352073032948378994e+00,4.166534754819452117e-03
1.355767216436447375e+00,4.164485184951452479e-03
1.359461399924515757e+00,4.172664323734474531e-03
1.363155583412584138e+00,4.177698271071682116e-03
1.366849766900652519e+00,4.181992894175370727e-03
1.370543950388720900e+00,4.177096575012305066e-03
1.374238133876789281e+00,4.186880077678363336e-03
1.377932317364857662e+00,4.184615179878659746e-03
