NormT,Drag
1.784297848551142041e+00,6.854790872499288978e-01
1.787992125854978243e+00,6.858779089402540219e-01
1.791686403158814445e+00,6.861186631873674724e-01
1.795380680462650647e+00,6.858229675112281765e-01
1.799074957766486627e+00,6.862516062359250713e-01
1.802769235070322829e+00,6.856939623179783005e-01
1.806463512374159031e+00,6.863988466672876765e-01
1.810157789677995233e+00,6.859063508485467864e-01
1.813852066981831435e+00,6.862160307118679858e-01
1.817546344285667415e+00,6.864369683039529546e-01
1.821240621589503617e+00,6.864805329038504711e-01
1.824934898893339819e+00,6.855867209298753817e-01
1.828629176197176021e+00,6.861589170760690193e-01
1.832323453501012223e+00,6.872494898005959696e-01
1.836017730804848203e+00,6.866849159024888127e-01
1.839712008108684405e+00,6.867071303323437625e-01
1.843406285412520607e+00,6.868575609601861309e-01
1.847100562716356809e+00,6.860784068158977123e-01
1.850794840020193011e+00,6.863646694168532569e-01
1.854489117324028991e+00,6.856501250802660152e-01
1.858183394627865193e+00,6.849162351010458227e-01
1.861877671931701395e+00,6.841633968520198783e-01
1.865571949235537597e+00,6.836351409683883995e-01
1.869266226539373577e+00,6.852545046124075556e-01
1.872960503843209779e+00,6.855108444037267823e-01
1.876654781147045981e+00,6.850874823849851802e-01
1.880349058450882183e+00,6.842611150419397603e-01
1.884043335754718385e+00,6.830054685828208516e-01
1.887737613058554365e+00,6.838390121573383329e-01
1.891431890362390567e+00,6.845352484226744361e-01
1.895126167666226769e+00,6.837081818760141205e-01
1.898820444970062971e+00,6.833197009197364835e-01
1.902514722273899173e+00,6.833260134974340483e-01
1.906208999577735153e+00,6.837572308015004152e-01
1.909903276881571355e+00,6.830327963128022262e-01
1.913597554185407557e+00,6.820257531085104352e-01
1.917291831489243759e+00,6.826577435125241733e-01
1.920986108793079739e+00,6.820179520671888485e-01
1.924680386096915941e+00,6.813042489521323741e-01
1.928374663400752143e+00,6.806005371892944744e-01
1.932068940704588345e+00,6.793852844564031157e-01
1.935763218008424547e+00,6.786706691630384203e-01
1.939457495312260527e+00,6.797122399082805577e-01
1.943151772616096729e+00,6.805371297954984078e-01
1.946846049919932931e+00,6.813936624549620236e-01
1.950540327223769133e+00,6.823503168485889336e-01
1.954234604527605335e+00,6.812483406753985227e-01
1.957928881831441315e+00,6.821434991159109895e-01
1.961623159135277517e+00,6.817038854552356364e-01
1.965317436439113719e+00,6.818970939590422997e-01
1.969011713742949921e+00,6.818485631502507749e-01
1.972705991046786123e+00,6.817977766702778553e-01
1.976400268350622103e+00,6.828483594255403411e-01
1.980094545654458305e+00,6.837016357326780591e-01
1.983788822958294507e+00,6.830466446542664549e-01
1.987483100262130709e+00,6.838415817128610241e-01
1.991177377565966689e+00,6.839114868090012678e-01
1.994871654869802891e+00,6.831859840414526985e-01
