NormT,magnus
1.762132184728125273e+00,2.084074476720876448e-05
1.765826462031961253e+00,2.066740957570258779e-05
1.769520739335797455e+00,2.078765666572553525e-05
1.773215016639633657e+00,2.077659360678500572e-05
1.776909293943469859e+00,2.071428171988658038e-05
1.780603571247306061e+00,2.075590026127076062e-05
1.784297848551142041e+00,2.067481421355091322e-05
1.787992125854978243e+00,2.062439459183771455e-05
1.791686403158814445e+00,2.067897497592690147e-05
1.795380680462650647e+00,2.067355428205460113e-05
1.799074957766486627e+00,2.076834824776415084e-05
1.802769235070322829e+00,2.092657662286566577e-05
1.806463512374159031e+00,2.113357918206964353e-05
1.810157789677995233e+00,2.105805164638218228e-05
1.813852066981831435e+00,2.115098517650572190e-05
1.817546344285667415e+00,2.114791369391853524e-05
1.821240621589503617e+00,2.126961757621176739e-05
1.824934898893339819e+00,2.126753807986113249e-05
1.828629176197176021e+00,2.125325671516188248e-05
1.832323453501012223e+00,2.118070048794717521e-05
1.836017730804848203e+00,2.137249458666457992e-05
1.839712008108684405e+00,2.128853444019302522e-05
1.843406285412520607e+00,2.131607229581895625e-05
1.847100562716356809e+00,2.123834945078875288e-05
1.850794840020193011e+00,2.121239884428322581e-05
1.854489117324028991e+00,2.115584146790430394e-05
1.858183394627865193e+00,2.113983676713759340e-05
1.861877671931701395e+00,2.108063113779234257e-05
1.865571949235537597e+00,2.114240633357887016e-05
1.869266226539373577e+00,2.113158245452670237e-05
1.872960503843209779e+00,2.110459946003390893e-05
1.876654781147045981e+00,2.109386708041761073e-05
1.880349058450882183e+00,2.110718111414990535e-05
1.884043335754718385e+00,2.109757990939221617e-05
1.887737613058554365e+00,2.102123453218316824e-05
1.891431890362390567e+00,2.101481396577684578e-05
1.895126167666226769e+00,2.101098523185397309e-05
1.898820444970062971e+00,2.107922853445638313e-05
1.902514722273899173e+00,2.101816932218901888e-05
1.906208999577735153e+00,2.087296409046192588e-05
1.909903276881571355e+00,2.069678306099040910e-05
1.913597554185407557e+00,2.075632498392032788e-05
1.917291831489243759e+00,2.071969727739448038e-05
1.920986108793079739e+00,2.071768967468513731e-05
1.924680386096915941e+00,2.068910058059082393e-05
1.928374663400752143e+00,2.056081565804751557e-05
1.932068940704588345e+00,2.048812421882040811e-05
1.935763218008424547e+00,2.047081502253498793e-05
1.939457495312260527e+00,2.051694737626125623e-05
1.943151772616096729e+00,2.051687291573466823e-05
1.946846049919932931e+00,2.062255447108556498e-05
1.950540327223769133e+00,2.068917450749821208e-05
1.954234604527605335e+00,2.070791686952836610e-05
1.957928881831441315e+00,2.077786202523355783e-05
1.961623159135277517e+00,2.069132756126791729e-05
1.965317436439113719e+00,2.066555803037631851e-05
1.969011713742949921e+00,2.066835633282995821e-05
1.972705991046786123e+00,2.072119037224306895e-05
1.976400268350622103e+00,2.071709098084618012e-05
1.980094545654458305e+00,2.074277811124645160e-05
1.983788822958294507e+00,2.073707390944365400e-05
1.987483100262130709e+00,2.079233021498194548e-05
1.991177377565966689e+00,2.079965566037345574e-05
1.994871654869802891e+00,2.076741817157854421e-05
