NormT,Faxen
1.233859161330191245e+00,4.542012799886404985e-06
1.237553344818259626e+00,4.555052417015374807e-06
1.241247528306328007e+00,4.557200768093163881e-06
1.244941711794396388e+00,4.555877120111999657e-06
1.248635895282464769e+00,4.565777036801411435e-06
1.252330078770533150e+00,4.551576942968497653e-06
1.256024262258601532e+00,4.549734091989245472e-06
1.259718445746669913e+00,4.548680936797175369e-06
1.263412629234738294e+00,4.539629056145639761e-06
1.267106812722806675e+00,4.543795575169541432e-06
1.270800996210875056e+00,4.543360838814965143e-06
1.274495179698943215e+00,4.550481805617652035e-06
1.278189363187011596e+00,4.572098803224023933e-06
1.281883546675079977e+00,4.595050199071679881e-06
1.285577730163148358e+00,4.597851768339242633e-06
1.289271913651216739e+00,4.584931699283943904e-06
1.292966097139285120e+00,4.560412057534304573e-06
1.296660280627353501e+00,4.563730001376643272e-06
1.300354464115421882e+00,4.551078984801722965e-06
1.304048647603490263e+00,4.545522921366596246e-06
1.307742831091558644e+00,4.545312189475598393e-06
1.311437014579627025e+00,4.526969759052916812e-06
1.315131198067695406e+00,4.520650786097827822e-06
1.318825381555763787e+00,4.511872161363182395e-06
1.322519565043832168e+00,4.513042140918013254e-06
1.326213748531900549e+00,4.526366375383196095e-06
1.329907932019968930e+00,4.535999768939976461e-06
1.333602115508037311e+00,4.538310607562905344e-06
1.337296298996105692e+00,4.514114387719338812e-06
1.340990482484174073e+00,4.501113447044589674e-06
1.344684665972242454e+00,4.497529168652063393e-06
1.348378849460310613e+00,4.493865873649877191e-06
1.352073032948378994e+00,4.502908713618210665e-06
1.355767216436447375e+00,4.525815020248056773e-06
1.359461399924515757e+00,4.545128494787164797e-06
1.363155583412584138e+00,4.547271815199370804e-06
1.366849766900652519e+00,4.563648451782887478e-06
1.370543950388720900e+00,4.568129398468900985e-06
1.374238133876789281e+00,4.576829259417368180e-06
1.377932317364857662e+00,4.586383366181449544e-06
1.381626500852926043e+00,4.586513261149896645e-06
1.385320684340994424e+00,4.586002071832411682e-06
1.389014867829062805e+00,4.605330234970489655e-06
1.392709051317131186e+00,4.596671975825321008e-06
1.396403234805199567e+00,4.603041887168229874e-06
1.400097418293267948e+00,4.582671848536909330e-06
1.403791601781336329e+00,4.582721733816417084e-06
1.407485785269404710e+00,4.567964201538059239e-06
1.411179968757473091e+00,4.545328173251589056e-06
1.414874152245541472e+00,4.553602464604849661e-06
1.418568335733609853e+00,4.535226788016180429e-06
1.422262519221678012e+00,4.538828532549730538e-06
1.425956702709746393e+00,4.530150284756108111e-06
1.429650886197814774e+00,4.531273232578042832e-06
1.433345069685883155e+00,4.530511262535532829e-06
1.437039253173951536e+00,4.527877326644600972e-06
1.440733436662019917e+00,4.535950114276151745e-06
1.444427620150088298e+00,4.544623759990182333e-06
1.448121803638156679e+00,4.552952826634929171e-06
1.451815987126225060e+00,4.547699560820887353e-06
1.455510170614293441e+00,4.567926904333220327e-06
1.459204354102361822e+00,4.564250292329180897e-06
1.462898537590430204e+00,4.554211106753622793e-06
1.466592721078498585e+00,4.561467081864492614e-06
1.470286904566566966e+00,4.558829683341019357e-06
1.473981088054635347e+00,4.570973107706346607e-06
1.477675271542703728e+00,4.577294620337979445e-06
1.481369455030772109e+00,4.584232539862947493e-06
1.485063638518840490e+00,4.581126784540938773e-06
1.488757822006908871e+00,4.577544712739621751e-06
1.492452005494977252e+00,4.562456958999423362e-06
1.496146188983045411e+00,4.572556901941643456e-06
1.499840372471113792e+00,4.585908349972797972e-06
1.503534555959182173e+00,4.592988352428182778e-06
1.507228739447250554e+00,4.599708237296118804e-06
1.510922922935318935e+00,4.599695728235682625e-06
1.514617106423387316e+00,4.577830863851565703e-06
1.518311289911455697e+00,4.561132661330103184e-06
1.522005473399524078e+00,4.565922107654160606e-06
1.525699656887592459e+00,4.573742392096382582e-06
1.529393840375660840e+00,4.570523187265345830e-06
1.533088023863729221e+00,4.573382086893886301e-06
1.536782207351797602e+00,4.581235228269689110e-06
1.540476390839865983e+00,4.574919390747153632e-06
1.544170574327934364e+00,4.587397242211509485e-06
1.547864757816002745e+00,4.573165596727861162e-06
1.551558941304071126e+00,4.572386528355244653e-06
1.555253124792139507e+00,4.574716054941555482e-06
1.558947308280207888e+00,4.569117203838570929e-06
1.562641491768276270e+00,4.566067155004203580e-06
